2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:47,491 [INFO] Frame 00295 | Face @ (231,263) size=208x208 | Eyes detected: 0
2026-04-24 19:40:47,491 [INFO] Frame 00295 | Face @ (155,224) size=81x81 | Eyes detected: 0
2026-04-24 19:40:47,524 [INFO] Frame 00296 | Face @ (229,263) size=210x210 | Eyes detected: 0
2026-04-24 19:40:47,524 [INFO] Frame 00296 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,575 [INFO] Frame 00297 | Face @ (232,264) size=208x208 | Eyes detected: 0
2026-04-24 19:40:47,578 [INFO] Frame 00297 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,609 [INFO] Frame 00298 | Face @ (232,264) size=208x208 | Eyes detected: 0
2026-04-24 19:40:47,609 [INFO] Frame 00298 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,657 [INFO] Frame 00299 | Face @ (228,264) size=209x209 | Eyes detected: 0
2026-04-24 19:40:47,657 [INFO] Frame 00299 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,691 [INFO] Frame 00300 | Face @ (228,264) size=209x209 | Eyes detected: 0
2026-04-24 19:40:47,691 [INFO] Frame 00300 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,750 [INFO] Frame 00301 | Face @ (228,266) size=207x207 | Eyes detected: 0
2026-04-24 19:40:47,750 [INFO] Frame 00301 | Face @ (150,221) size=91x91 | Eyes detected: 0
2026-04-24 19:40:47,778 [INFO] Frame 00302 | Face @ (228,266) size=207x207 | Eyes detected: 0
2026-04-24 19:40:47,820 [INFO] Frame 00303 | Face @ (227,265) size=209x209 | Eyes detected: 1
2026-04-24 19:40:47,851 [INFO] Frame 00304 | Face @ (227,265) size=209x209 | Eyes detected: 1
